ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2021-12-10,143.70050067100203,48.4436160067629,293.7295006756262,143.70050067100203,143.70050067100203,26.689767164483328,26.689767164483328,26.689767164483328,-0.6120553324936917,-0.6120553324936917,-0.6120553324936917,27.301822496977017,27.301822496977017,27.301822496977017,0.0,0.0,0.0,170.39026783548536
2021-12-11,143.598708256451,43.64928005856536,293.70451819607734,143.598708256451,143.598708256451,28.42361004540911,28.42361004540911,28.42361004540911,0.9471884867211683,0.9471884867211683,0.9471884867211683,27.476421558687942,27.476421558687942,27.476421558687942,0.0,0.0,0.0,172.0223183018601
2021-12-12,143.4969158419,41.90763806366261,283.45075234239124,143.4969158419,143.4969158419,22.171087441091988,22.171087441091988,22.171087441091988,-5.624541959854164,-5.624541959854164,-5.624541959854164,27.79562940094615,27.79562940094615,27.79562940094615,0.0,0.0,0.0,165.668003282992
2021-12-13,143.395123427349,55.35898045782668,287.2274205675161,143.395123427349,143.395123427349,30.897384036164528,30.897384036164528,30.897384036164528,2.644528837723506,2.644528837723506,2.644528837723506,28.25285519844102,28.25285519844102,28.25285519844102,0.0,0.0,0.0,174.29250746351354
2021-12-14,143.293331012798,59.484048470885575,286.58354186694703,143.293331012798,143.293331012798,31.656977849094517,31.656977849094517,31.656977849094517,2.8193328075580824,2.8193328075580824,2.8193328075580824,28.837645041536433,28.837645041536433,28.837645041536433,0.0,0.0,0.0,174.95030886189252
2021-12-15,143.19153859824698,46.601998666576364,286.91569199973947,143.19153859824698,143.19153859824698,25.623343866567133,25.623343866567133,25.623343866567133,-3.9125875476500362,-3.9125875476500362,-3.9125875476500362,29.53593141421717,29.53593141421717,29.53593141421717,0.0,0.0,0.0,168.8148824648141
2021-12-16,143.08974618369598,53.688329724756535,302.4832874730292,143.08974618369598,143.08974618369598,34.06853814757455,34.06853814757455,34.06853814757455,3.7381347080060476,3.7381347080060476,3.7381347080060476,30.330403439568503,30.330403439568503,30.330403439568503,0.0,0.0,0.0,177.15828433127052
2021-12-17,142.98795376914498,56.77238131182639,298.05034529465115,142.98795376914498,142.98795376914498,30.58893633379576,30.58893633379576,30.58893633379576,-0.6120553324951963,-0.6120553324951963,-0.6120553324951963,31.200991666290957,31.200991666290957,31.200991666290957,0.0,0.0,0.0,173.57689010294075
2021-12-18,142.88616135459395,54.98812018375496,286.9671290761868,142.88616135459395,142.88616135459395,33.07264581438137,33.07264581438137,33.07264581438137,0.9471884867146452,0.9471884867146452,0.9471884867146452,32.12545732766672,32.12545732766672,32.12545732766672,0.0,0.0,0.0,175.9588071689753
2021-12-19,142.78436894004295,44.797400990102574,302.34558264572723,142.78436894004295,142.78436894004295,27.455530358528968,27.455530358528968,27.455530358528968,-5.624541959866689,-5.624541959866689,-5.624541959866689,33.08007231839565,33.08007231839565,33.08007231839565,0.0,0.0,0.0,170.2398992985719
